Expenditure Date,Payee Name,Address,Payee Type,Amount($),Committee Name,Expense Category,Expense Purpose,Expense Toward,Expense Method,Vendor,Fundtype,Comments
8/19/2021,Printing Specialist,806 CROMWELL PARK DR  GLEN BURNIE  Maryland 21061,Business/Group/Organization,509,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
8/20/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,5,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
8/20/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,10785,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
8/23/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,3000,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,
8/24/2021,Nadia Hassan,3 Pinecrest Ct  Greenbelt  Maryland 20770,Individual,185,Blair  David for Montgomery,Other Expenses,Volunteer Meals,,Check,,Electoral,Reimbursement - County Fair
8/26/2021,GoDaddy.com,14455 N Hayden Rd  Scottsdale  Arizona 85260,Business/Group/Organization,17,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Website Hosting
8/27/2021,Panera Bread,219 E Middle Ln  Rockville  Maryland 20850,Business/Group/Organization,65,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Food & Beverage
8/30/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,0,Blair  David for Montgomery,Other Expenses,Bank Charges,,EFT,,Electoral,
8/30/2021,The Potomac Chamber of Commerce,10220 River Rd  # 1  Potomac  Maryland 20854,Business/Group/Organization,1500,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Potomac Day 2021 Platinum Sponsor - 10/11 expense purpose corrected (approved by LH)
8/30/2021,Town of Kensington,3710 Mitchell St  Kensington  Maryland 20895,Business/Group/Organization,75,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Labor Day Kensington Festival Booth Rental - 10/11 expense purpose amended (approved by LH)
8/30/2021,LinkTree,37 ISLINGTON St  Collingwood  New Hampshire 03066,Business/Group/Organization,6,Blair  David for Montgomery,Media,Online Advertising,,Check,,Electoral,Website
8/31/2021,Montgomery County Democratic Central,12320 Parklawn Dr  Rockville  Maryland 20852,Business/Group/Organization,3000,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Platinum Sponsor for 2021 MCDCC Gala- 10/11/22 expense purpose amended (approved by LH)
8/31/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,22,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
8/31/2021,Perkins Coie LLP,700 13th St NW  Washington  District Of Columbia 20005,Business/Group/Organization,728,Blair  David for Montgomery,Salaries and Other compensation,Legal Fees - General,,Check,,Electoral,Invoice 6437479
8/31/2021,Perkins Coie LLP,700 13th St NW  Washington  District Of Columbia 20005,Business/Group/Organization,2454,Blair  David for Montgomery,Salaries and Other compensation,Legal Fees - General,,Check,,Electoral,Invoice 6437478
8/31/2021,Robert M Dorfman,105 Esworthy Pl  North Potomac  Maryland 20878,Individual,68,Blair  David for Montgomery,Other Expenses,Meeting Expenses,,Check,,Electoral,Reimbursement - lunch meeting
9/1/2021,CFO Compliance,1 Park Row  Ste 5  Providence  Rhode Island 02903,Business/Group/Organization,5251,Blair  David for Montgomery,Salaries and Other compensation,Legal Fees - Compliance/Administrative,,Check,,Electoral,Compliance Services
9/1/2021,ProImprint,100 Capitola Dr  Ste 100  Durham  North Carolina 27713,Business/Group/Organization,165,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Campaign Paraphernalia
9/2/2021,Blue Cross Blue Shield,225 N Michigan Ave  Chicago  Illinois 60601,Business/Group/Organization,717,Blair  David for Montgomery,Salaries and Other compensation,Staff - Employee Benefits Costs,,Check,,Electoral,Insurance
9/2/2021,Google Gsuite,1600 Amphitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,184,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscriptions
9/2/2021,Paragon Payment Solutions,2141 E Broadway Rd  Ste 202  Tempe  Arizona 85282,Business/Group/Organization,1714,Blair  David for Montgomery,Fund Raiser,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
9/2/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,83,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Workers Comp. Insurance
