Expenditure Date,Payee Name,Address,Payee Type,Amount($),Committee Name,Expense Category,Expense Purpose,Expense Toward,Expense Method,Vendor,Fundtype,Comments
10/29/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,11996,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
10/31/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,1,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fee
11/1/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,28,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/1/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,201,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/1/2021,LinkTree,37 ISLINGTON St  Collingwood  New Hampshire 03066,Business/Group/Organization,6,Blair  David for Montgomery,Media,Online Advertising,,Check,,Electoral,Website
11/1/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,0,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
11/2/2021,Blue Cross Blue Shield,225 N Michigan Ave  Chicago  Illinois 60601,Business/Group/Organization,1932,Blair  David for Montgomery,Salaries and Other compensation,Staff - Employee Benefits Costs,,Check,,Electoral,Insurance
11/2/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,4000,Blair  David for Montgomery,Rent and Other Office expenses,Office Rent,,Check,,Electoral,Office Rent
11/2/2021,One Source,7914 Queenair Dr  Gaithersburg  Maryland 20879,Business/Group/Organization,1544,Blair  David for Montgomery,Rent and Other Office expenses,Office - Campaign Office Maintenance,,Check,,Electoral,Phone/Data
11/2/2021,Paragon Payment Solutions,2141 E Broadway Rd  Ste 202  Tempe  Arizona 85282,Business/Group/Organization,1043,Blair  David for Montgomery,Fund Raiser,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
11/2/2021,Mosaic Strategy Partners,777 Taylor St  Ste 1130  Fort Worth  Texas 76102,Business/Group/Organization,33553,Blair  David for Montgomery,Postage,Mailing Service,,Check,,Electoral,Direct Mail Postage
11/2/2021,Nahom Tekle,6408 47th Ave  Riverdale  Maryland 20737,Individual,54,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Reimbursement - see below
11/3/2021,Target,6831 Wisconsin Ave  Chevy Chase  Maryland 20815,Business/Group/Organization,57,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/3/2021,Google Gsuite,1600 Amphitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,268,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscription
11/3/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,17,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/4/2021,Pinstripes,11920 Grand Park Ave  North Bethesda  Maryland 20852,Business/Group/Organization,643,Blair  David for Montgomery,Field Expenses,Other,,Check,,Electoral,Food and Beverage
11/5/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,1403,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/6/2021,LJ's Cafe,9210 Corporate Blvd  Rockville  Maryland 20850,Business/Group/Organization,318,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Catering
11/8/2021,Michaels,821 Center Point Way  Gaithersburg  Maryland 20878,Business/Group/Organization,12,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/8/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,14,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/8/2021,Colonial Parking,1050 Thomas Jefferson St NW  Washington  District Of Columbia 20007,Business/Group/Organization,25,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Parking
11/9/2021,Adobe,345 Park Ave  San Jose  California 95110,Business/Group/Organization,56,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/9/2021,Target,6831 Wisconsin Ave  Chevy Chase  Maryland 20815,Business/Group/Organization,134,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/10/2021,Maverick Strategies,1426 N 3rd St  Ste 310  Harrisburg  Pennsylvania 17102,Business/Group/Organization,58385,Blair  David for Montgomery,Postage,Postage,,Check,,Electoral,Postage
11/10/2021,Microsoft,1 Microsoft Way  Redmond  Washington 98052,Business/Group/Organization,9,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/10/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,6000,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,Consultant
11/12/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,98,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Workers Comp Premium
11/12/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,544,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
11/12/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,12061,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
11/12/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,38161,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Payroll
11/12/2021,Verizon,1095 Avenue of the Americas  New York  New York 10036,Business/Group/Organization,312,Blair  David for Montgomery,Rent and Other Office expenses,Utilities - Internet Access,,Check,,Electoral,Utilities
11/15/2021,Greater Silver Spring Chamber,8601 Georgia Ave  Ste 203  Silver Spring  Maryland 20910,Business/Group/Organization,40,Blair  David for Montgomery,Field Expenses,Meeting Expenses,,Debit Card,,Electoral,A Ticket for the Greater Silver Spring Chamber of Commerce Lights  Camera  Nosh: Business After Hours Event - 10/11/22 expense purpose amended (approved by LH)
11/15/2021,Zoom,55 Almaden Blvd  Fl 6  San Jose  California 95113,Business/Group/Organization,15,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Conference Services
11/15/2021,Dunkin Donuts,11530 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,7,Blair  David for Montgomery,Field Expenses,Other,,Check,,Electoral,Food and Beverage
11/15/2021,Dunkin Donuts,11530 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,31,Blair  David for Montgomery,Field Expenses,Other,,Check,,Electoral,Food and Beverage
11/15/2021,Harris Teeter,4805 Battery Ln  Bethesda  Maryland 20814,Business/Group/Organization,10,Blair  David for Montgomery,Field Expenses,Other,,Check,,Electoral,Food and Beverage
11/15/2021,Just Yard Signs,2235 Mercator Dr  Orlando  Florida 32807,Business/Group/Organization,258,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Campaign Paraphernalia
11/16/2021,Verizon,1095 Avenue of the Americas  New York  New York 10036,Business/Group/Organization,4,Blair  David for Montgomery,Rent and Other Office expenses,Utilities - Internet Access,,Check,,Electoral,Utilities
11/16/2021,Verizon,1095 Avenue of the Americas  New York  New York 10036,Business/Group/Organization,492,Blair  David for Montgomery,Rent and Other Office expenses,Utilities - Internet Access,,Check,,Electoral,Utilities
11/16/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,383,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/17/2021,Printing Specialists,806 CROMWELL PARK DR  GLEN BURNIE  Maryland 21061,Business/Group/Organization,4812,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
11/17/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,149,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
11/18/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,875,Blair  David for Montgomery,Rent and Other Office expenses,Utilities - Electrical,,Check,,Electoral,Utilities
11/18/2021,USPS,475 Lenfant Plz SW  Washington  District Of Columbia 20260,Business/Group/Organization,27,Blair  David for Montgomery,Postage,Postage,,Check,,Electoral,Postage
11/18/2021,Printing Specialists,806 CROMWELL PARK DR  GLEN BURNIE  Maryland 21061,Business/Group/Organization,790,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
11/19/2021,NGP/VAN,1445 New York Ave NW  Ste 200  Washington  District Of Columbia 20005,Business/Group/Organization,1050,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Database Services
11/19/2021,BluePrint Interactive,1220 19th St NW  Washington  District Of Columbia 20036,Business/Group/Organization,15000,Blair  David for Montgomery,Media,Media - Website Development,,Check,,Electoral,Media
11/19/2021,Dropbox,1800 Owens St  Ste 200  San Francisco  California 94158,Business/Group/Organization,48,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscription
11/23/2021,Best Buy,1200 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,350,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Equipment
11/23/2021,CFO Compliance,1 Park Row  Ste 5  Providence  Rhode Island 02903,Business/Group/Organization,3500,Blair  David for Montgomery,Salaries and Other compensation,Legal Fees - Compliance/Administrative,,Check,,Electoral,Compliance Services
11/24/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,91,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Workers Comp Insurance
11/24/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,479,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
11/24/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,22956,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Payroll
11/24/2021,Just Yard Signs,2235 Mercator Dr  Orlando  Florida 32807,Business/Group/Organization,5255,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Campaign Paraphernalia
11/26/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,11197,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
11/29/2021,Gabrielle Jacob,19421 Fisher Ave  Poolesville  Maryland 20837,Business/Group/Organization,1750,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Campaign Paraphernalia
11/29/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,14,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
11/30/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,3,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fee
11/30/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,0,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
11/30/2021,LinkTree,37 ISLINGTON St  Collingwood  New Hampshire 03066,Business/Group/Organization,6,Blair  David for Montgomery,Media,Online Advertising,,Check,,Electoral,Website
12/1/2021,Lourdez Hernandez,3700 63rd Ave  Hyattsville  Maryland 20785,Business/Group/Organization,350,Blair  David for Montgomery,Rent and Other Office expenses,Office - Campaign Office Maintenance,,Check,,Electoral,Office Cleaning
12/1/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,6000,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,Consultant
12/1/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,6000,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,Consultant
12/1/2021,Nadia Hassan,3 Pinecrest Ct  Greenbelt  Maryland 20770,Individual,238,Blair  David for Montgomery,Other Expenses,Meeting Expenses,,Check,,Electoral,Reimbursement - Meet & Greet
12/2/2021,Blue Cross Blue Shield,225 N Michigan Ave  Chicago  Illinois 60601,Business/Group/Organization,330,Blair  David for Montgomery,Salaries and Other compensation,Staff - Employee Benefits Costs,,Check,,Electoral,Insurance
12/2/2021,Capital Doc Solutions,12115 Parklawn Dr  Ste L  Rockville  Maryland 20852,Business/Group/Organization,165,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Equipment
12/2/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,4000,Blair  David for Montgomery,Rent and Other Office expenses,Office Rent,,Check,,Electoral,Office Rent
12/2/2021,Paragon Payment Solutions,2141 E Broadway Rd  Ste 202  Tempe  Arizona 85282,Business/Group/Organization,469,Blair  David for Montgomery,Fund Raiser,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fee
12/3/2021,Target,6831 Wisconsin Ave  Chevy Chase  Maryland 20815,Business/Group/Organization,100,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/3/2021,Google Gsuite,1600 Amphitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,312,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscription
12/3/2021,Pinstripes,11920 Grand Park Ave  North Bethesda  Maryland 20852,Business/Group/Organization,179,Blair  David for Montgomery,Field Expenses,Other,,Check,,Electoral,Food and Beverage
12/3/2021,Pinstripes,11920 Grand Park Ave  North Bethesda  Maryland 20852,Business/Group/Organization,643,Blair  David for Montgomery,Field Expenses,Other,,Check,,Electoral,Food and Beverage
12/3/2021,Fedex,942 Shady Grove Rd S  Memphis  Tennessee 38120,Business/Group/Organization,30,Blair  David for Montgomery,Postage,Postage,,Check,,Electoral,Shipping
12/6/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,14,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/7/2021,Discount Mugs,12610 NW 115th Ave  Medley  Florida 33178,Business/Group/Organization,323,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Campaign Paraphernalia
12/7/2021,Printing Specialist,806 CROMWELL PARK DR  GLEN BURNIE  Maryland 21061,Business/Group/Organization,3306,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
12/7/2021,Nahom Tekle,8201 16th St  Apt 1022  Silver Spring  Maryland 20910,Individual,35,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Reimbursement - parking/chamber event
12/7/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,15,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
12/8/2021,Adobe,345 Park Ave  San Jose  California 95110,Business/Group/Organization,56,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/8/2021,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,55,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/9/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,89,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Workers Comp Insurance
12/9/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,531,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
12/9/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,23888,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Payroll
12/9/2021,Dollar Tree,1776 E Jeffsone St  Ste 201  Rockville  Maryland 20852,Business/Group/Organization,39,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/10/2021,MCG DOT parking,4910 Elm St  Bethesda  Maryland 20814,Business/Group/Organization,4,Blair  David for Montgomery,Rent and Other Office expenses,Office - Campaign Office Maintenance,,Check,,Electoral,Parking
12/10/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,2,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
12/10/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,10972,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
12/10/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,12000,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Payroll
12/13/2021,Microsoft,1 Microsoft Way  Redmond  Washington 98052,Business/Group/Organization,9,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/13/2021,Ironmark,9040 Junction Dr  Annapolis Junction  Maryland 20701,Business/Group/Organization,1413,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
12/14/2021,Zoom,55 Almaden Blvd  Fl 6  San Jose  California 95113,Business/Group/Organization,15,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Conference Services
12/14/2021,IMC  water cooler,PO Box 476  Poolesville  Maryland 20837,Business/Group/Organization,232,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Equipment
12/14/2021,Dollar Tree,1776 E Jeffsone St  Ste 201  Rockville  Maryland 20852,Business/Group/Organization,17,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/15/2021,Capital Doc Solutions,12115 Parklawn Dr  Ste L  Rockville  Maryland 20852,Business/Group/Organization,199,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Equipment
12/16/2021,NGP/VAN,1445 New York Ave NW  Ste 200  Washington  District Of Columbia 20005,Business/Group/Organization,1219,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Database Services
12/17/2021,USPS,475 Lenfant Plz SW  Washington  District Of Columbia 20260,Business/Group/Organization,174,Blair  David for Montgomery,Postage,Postage,,Check,,Electoral,Postage
12/20/2021,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,484,Blair  David for Montgomery,Rent and Other Office expenses,Utilities - Electrical,,Check,,Electoral,Utilities
12/20/2021,Staples,500 STAPLES DR  FRAMINGHAM  Massachusetts 01702,Business/Group/Organization,47,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
12/20/2021,Dropbox,1800 Owens St  Ste 200  San Francisco  California 94158,Business/Group/Organization,48,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscription
12/21/2021,L2  inc.,5 Schalks Crossing Rd  Ste 220  Plainsboro  New Jersey 08536,Business/Group/Organization,8243,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
12/22/2021,One Source,7914 Queenair Dr  Gaithersburg  Maryland 20879,Business/Group/Organization,3204,Blair  David for Montgomery,Rent and Other Office expenses,Office - Campaign Office Maintenance,,Check,,Electoral,Phone/Data
12/22/2021,Printing Specialist,806 CROMWELL PARK DR  GLEN BURNIE  Maryland 21061,Business/Group/Organization,769,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
12/23/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,79,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Workers Comp Insurance
12/23/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,479,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
12/23/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,19036,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Payroll
12/24/2021,Nahom Tekle,8201 16th St  Apt 1022  Silver Spring  Maryland 20910,Individual,20,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Reimbursement
12/24/2021,Nahom Tekle,8201 16th St  Apt 1022  Silver Spring  Maryland 20910,Individual,132,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Reimbursement
12/24/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,4000,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Payroll
12/24/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,9762,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
12/24/2021,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,6000,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,Consultant
12/24/2021,Nadia Hassan,3 Pinecrest Ct  Greenbelt  Maryland 20770,Individual,30,Blair  David for Montgomery,Other Expenses,Other,,Check,,Electoral,Reimbursement
12/24/2021,Nadia Hassan,3 Pinecrest Ct  Greenbelt  Maryland 20770,Individual,300,Blair  David for Montgomery,Other Expenses,Meeting Expenses,,Check,,Electoral,Hispanic Roundtable Fee Reimbursement - 10/11/22 comments detail amended (approved by LH)
12/27/2021,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,2,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
12/28/2021,Verizon,1095 Avenue of the Americas  New York  New York 10036,Business/Group/Organization,108,Blair  David for Montgomery,Rent and Other Office expenses,Utilities - Internet Access,,Check,,Electoral,Utilities
12/28/2021,Doyle Printing,5206 46th Ave  Hyattsville  Maryland 20781,Business/Group/Organization,281,Blair  David for Montgomery,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),,Check,,Electoral,Printing
12/30/2021,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,0,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
12/30/2021,LinkTree,37 ISLINGTON St  Collingwood  New Hampshire 03066,Business/Group/Organization,6,Blair  David for Montgomery,Media,Online Advertising,,Check,,Electoral,Website
12/31/2021,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,12,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fee
1/1/2022,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,6,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fees
1/3/2022,Google Gsuite,1600 Amphitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,337,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Subscription
1/3/2022,Paragon Payment Solutions,2141 E Broadway Rd  Ste 202  Tempe  Arizona 85282,Business/Group/Organization,398,Blair  David for Montgomery,Fund Raiser,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fee
1/3/2022,Young Leader's Institute,3 Pinecrest Ct  Greenbelt  Maryland 20770,Business/Group/Organization,6000,Blair  David for Montgomery,Salaries and Other compensation,Consultant Fees- Campaign workers,,Check,,Electoral,Consultant
1/4/2022,Blue Cross Blue Shield,225 N Michigan Ave  Chicago  Illinois 60601,Business/Group/Organization,1843,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Insurance
1/4/2022,11751 Rockville,11751 Rockville Pike  North Bethesda  Maryland 20852,Business/Group/Organization,4000,Blair  David for Montgomery,Rent and Other Office expenses,Office Rent,,Check,,Electoral,Office Rent
1/4/2022,Target,6831 Wisconsin Ave  Chevy Chase  Maryland 20815,Business/Group/Organization,161,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
1/6/2022,Pace Payment Systems,1500 Medical Center Dr  Nashville  Tennessee 37232,Business/Group/Organization,17,Blair  David for Montgomery,Other Expenses,Credit Card Service Processing Charges,,Check,,Electoral,Credit Card Processing Fee
1/6/2022,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,77,Blair  David for Montgomery,Salaries and Other compensation,Staff - Insurance,,Check,,Electoral,Workers Comp Insurance
1/6/2022,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,596,Blair  David for Montgomery,Salaries and Other compensation,Payroll Company Management Expense,,Check,,Electoral,Payroll Processing Fees
1/6/2022,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,32723,Blair  David for Montgomery,Salaries and Other compensation,Wages - Campaign Staff,,Check,,Electoral,Payroll
1/6/2022,Amazon,1 HACKER Way  Sacramento  California 94205,Business/Group/Organization,14,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
1/6/2022,Sandy Spring Bank,611 Rockville Pike  Rockville  Maryland 20852,Business/Group/Organization,15,Blair  David for Montgomery,Other Expenses,Bank Charges,,Check,,Electoral,Bank Fees
1/7/2022,Paychex,700 Red Brook Blvd  STE 300  Owings Mills  Maryland 21117,Business/Group/Organization,10146,Blair  David for Montgomery,Salaries and Other compensation,Wages - Employment Taxes,,Check,,Electoral,Payroll Tax
1/7/2022,Zoom,55 Almaden Blvd  Fl 6  San Jose  California 95113,Business/Group/Organization,3,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Conference Services
1/10/2022,Adobe,345 Park Ave  San Jose  California 95110,Business/Group/Organization,56,Blair  David for Montgomery,Rent and Other Office expenses,Office Supplies,,Check,,Electoral,Office Supplies
